"Index","Group","DisvAccept","GrwithStat"
1,3,"R",3
2,1,"R",1
3,1,"R",1
4,4,"R",4
5,1,"R",1
6,2,"R",2
7,3,"R",3
8,1,"R",1
9,2,"R",2
10,1,"R",1
11,3,"R",3
12,1,"R",1
13,3,"R",3
14,1,"R",1
15,4,"R",4
16,1,"R",1
17,1,"R",1
18,1,"R",1
19,1,"R",1
20,4,"R",4
21,1,"R",1
22,1,"R",1
23,1,"R",1
24,1,"R",1
25,1,"R",1
26,4,"R",4
27,3,"R",3
28,1,"R",1
29,1,"R",1
30,1,"R",1
31,1,"R",1
32,1,"R",1
33,1,"R",1
34,2,"D","D2"
35,1,"R",1
36,3,"R",3
37,1,"R",1
38,1,"R",1
39,1,"R",1
40,1,"R",1
41,1,"R",1
42,1,"R",1
43,1,"R",1
44,3,"R",3
45,1,"R",1
46,1,"R",1
47,1,"R",1
48,1,"R",1
49,1,"R",1
50,1,"R",1
51,1,"D","D1"
52,1,"R",1
53,1,"R",1
54,1,"R",1
55,1,"R",1
56,1,"R",1
57,1,"R",1
58,4,"R",4
59,4,"D","D4"
60,1,"R",1
61,3,"D","D3"
62,4,"D","D4"
63,3,"R",3
64,1,"R",1
65,1,"D","D1"
66,4,"R",4
67,1,"R",1
68,3,"D","D3"
69,1,"D","D1"
70,1,"R",1
71,3,"R",3
72,3,"R",3
73,4,"D","D4"
74,3,"D","D3"
75,4,"D","D4"
76,3,"R",3
77,2,"D","D2"
78,2,"D","D2"
79,1,"D","D1"
80,1,"R",1
81,1,"D","D1"
82,1,"D","D1"
83,1,"R",1
84,5,"D","D5"
85,3,"D","D3"
86,1,"R",1
87,1,"R",1
88,1,"R",1
89,1,"R",1
90,1,"R",1
91,1,"D","D1"
92,1,"D","D1"
93,4,"D","D4"
94,2,"R",2
95,1,"D","D1"
96,1,"D","D1"
97,3,"R",3
98,1,"D","D1"
99,2,"D","D2"
100,1,"D","D1"
101,1,"D","D1"
102,1,"D","D1"
103,1,"R",1
104,1,"D","D1"
105,3,"R",3
106,4,"D","D4"
107,1,"R",1
108,1,"D","D1"
109,1,"D","D1"
110,1,"D","D1"
111,1,"R",1
112,1,"D","D1"
113,3,"R",3
114,3,"D","D3"
115,3,"R",3
116,1,"D","D1"
117,1,"D","D1"
118,4,"D","D4"
119,1,"D","D1"
120,1,"D","D1"
121,1,"D","D1"
122,1,"R",1
123,3,"D","D3"
124,1,"D","D1"
125,1,"R",1
126,1,"D","D1"
127,1,"D","D1"
128,1,"R",1
129,1,"R",1
130,1,"D","D1"
131,1,"D","D1"
132,1,"R",1
133,1,"D","D1"
134,1,"R",1
135,1,"D","D1"
136,1,"D","D1"
137,1,"D","D1"
138,1,"D","D1"
139,3,"R",3
140,3,"R",3
141,3,"D","D3"
142,1,"D","D1"
143,1,"D","D1"
144,2,"D","D2"
145,1,"R",1
146,3,"R",3
147,1,"D","D1"
148,1,"D","D1"
149,1,"D","D1"
150,1,"R",1
151,1,"D","D1"
152,1,"D","D1"
153,1,"D","D1"
154,1,"R",1
155,3,"D","D3"
156,2,"D","D2"
157,1,"D","D1"
158,1,"D","D1"
159,1,"R",1
160,1,"D","D1"
161,1,"D","D1"
162,1,"R",1
163,1,"R",1
164,1,"D","D1"
165,1,"R",1
166,1,"D","D1"
167,1,"R",1
168,1,"D","D1"
169,1,"R",1
170,4,"D","D4"
171,1,"R",1
172,2,"R",2
173,1,"R",1
174,1,"D","D1"
175,1,"D","D1"
176,3,"R",3
177,1,"D","D1"
178,1,"R",1
179,1,"D","D1"
180,3,"R",3
181,1,"R",1
182,3,"R",3
183,3,"R",3
184,1,"D","D1"
185,1,"R",1
186,1,"R",1
187,3,"R",3
188,1,"R",1
189,1,"R",1
190,1,"D","D1"
191,1,"R",1
192,1,"D","D1"
193,1,"D","D1"
194,3,"R",3
195,1,"D","D1"
196,1,"R",1
197,3,"R",3
198,1,"R",1
199,1,"D","D1"
200,3,"D","D3"
201,3,"R",3
202,1,"R",1
203,1,"D","D1"
204,1,"R",1
205,1,"R",1
206,4,"R",4
207,4,"R",4
208,1,"R",1
209,1,"R",1
210,1,"R",1
211,4,"R",4
212,3,"R",3
213,1,"R",1
214,1,"R",1
215,1,"R",1
216,4,"R",4
217,1,"R",1
218,3,"D","D3"
219,1,"R",1
220,1,"D","D1"
221,1,"R",1
222,1,"R",1
223,1,"R",1
224,2,"R",2
225,1,"R",1
